record,split,rate_hz,protocol,horizon,domain,oracle_rms,fp_rms,floor_over_target,oracle_finite,fp_finite
V4_lissajous_Ym10,V,2000,corate,windows,time,4.977294595379786e-07,1.7592560318938265e-05,0.028292042233453447,True,True
V4_lissajous_Ym10,V,2000,corate,windows,band,4.3476751079347727e-07,1.5087534743230571e-05,0.02881633866583455,True,True
V4_lissajous_Ym10,V,2000,controller20k_zoh,full,time,8.861983736621402e-05,9.042648441670249e-05,0.9800208195404004,True,True
V4_lissajous_Ym10,V,2000,controller20k_zoh,full,band,3.7486585089096275e-06,1.7192097001364512e-05,0.21804544894157482,True,True
V4_lissajous_Ym10,V,2000,controller20k_zoh,windows,time,9.018822649881387e-05,9.199038711910189e-05,0.9804092506105586,True,True
V4_lissajous_Ym10,V,2000,controller20k_zoh,windows,band,3.6924994963730516e-06,1.599765641206114e-05,0.2308150269803994,True,True
V4_lissajous_Ym10,V,1000,corate,full,time,inf,2.1722226353370637e-05,inf,False,True
V4_lissajous_Ym10,V,1000,corate,full,band,inf,2.034649454670732e-05,inf,False,True
V4_lissajous_Ym10,V,1000,corate,windows,time,1.2489317102016828e-05,2.1699305390000106e-05,0.5755629904988755,True,True
V4_lissajous_Ym10,V,1000,corate,windows,band,3.4859200373308334e-06,1.9214492672537227e-05,0.18142139356680326,True,True
V4_lissajous_Ym10,V,1000,controller20k_zoh,full,time,0.00018731754969430727,0.0001888639617887644,0.9918120318995175,True,True
V4_lissajous_Ym10,V,1000,controller20k_zoh,full,band,1.224700325770698e-05,2.5629841001621603e-05,0.47784156198753286,True,True
V4_lissajous_Ym10,V,1000,controller20k_zoh,windows,time,0.00019278269988748563,0.00019336339466713407,0.9969968732673106,True,True
V4_lissajous_Ym10,V,1000,controller20k_zoh,windows,band,1.1931944668478265e-05,2.4616450879088367e-05,0.48471425580746214,True,True
