record,split,rate_hz,protocol,horizon,domain,oracle_rms,fp_rms,floor_over_target,oracle_finite,fp_finite
T7_ysweep_fast,T,2000,open_loop,full,band,2.08674010301344e-07,8.37878289375481e-06,0.02490505040497956,True,True
T7_ysweep_fast,T,2000,open_loop,windows,time,3.1498915704521076e-07,0.0004746211338973799,0.0006636644147272971,True,True
T7_ysweep_fast,T,2000,open_loop,windows,band,1.9576717858760824e-07,7.804414046844382e-06,0.02508416101613218,True,True
T7_ysweep_fast,T,1000,open_loop,full,time,4.038145514295894e-05,3.800999653500447e-05,1.0623903926371192,True,True
T7_ysweep_fast,T,1000,open_loop,full,band,9.796624011677701e-07,7.956590542042267e-06,0.1231259037387029,True,True
T7_ysweep_fast,T,1000,open_loop,windows,time,1.3620392154541307e-06,0.0005087044611884641,0.002677466622313588,True,True
T7_ysweep_fast,T,1000,open_loop,windows,band,9.324378213610539e-07,7.659326919848606e-06,0.12173887224276939,True,True
T8_ysweep_xmix,T,4000,open_loop,full,time,2.5005136467189923e-06,6.882991211614192e-05,0.03632888042192595,True,True
T8_ysweep_xmix,T,4000,open_loop,full,band,5.0650086540570406e-08,8.518271739512918e-06,0.005946051979725481,True,True
T8_ysweep_xmix,T,4000,open_loop,windows,time,7.639880489264994e-08,0.0005469511358438076,0.00013968122540743217,True,True
T8_ysweep_xmix,T,4000,open_loop,windows,band,4.571093059068116e-08,7.590349232962244e-06,0.006022243402474092,True,True
T8_ysweep_xmix,T,2000,open_loop,full,time,1.016877960116444e-05,6.67930945689389e-05,0.15224297761303718,True,True
T8_ysweep_xmix,T,2000,open_loop,full,band,2.065921511426281e-07,8.406450599211583e-06,0.024575431533732418,True,True
T8_ysweep_xmix,T,2000,open_loop,windows,time,3.1516803804924376e-07,0.0005452088023557656,0.0005780685063914042,True,True
T8_ysweep_xmix,T,2000,open_loop,windows,band,1.9266296938984485e-07,7.792733203155287e-06,0.024723414027806753,True,True
T8_ysweep_xmix,T,1000,open_loop,full,time,3.863718433759758e-05,6.715906307503868e-05,0.5753085669826451,True,True
T8_ysweep_xmix,T,1000,open_loop,full,band,9.731210211646507e-07,7.979003612569246e-06,0.12196021814449397,True,True
T8_ysweep_xmix,T,1000,open_loop,windows,time,1.377910985888699e-06,0.0005032037092470476,0.002738276687090584,True,True
T8_ysweep_xmix,T,1000,open_loop,windows,band,9.23970367210818e-07,7.633188693757423e-06,0.1210464465481457,True,True
T9_aprbs_30,T,4000,open_loop,full,time,2.427888682819877e-06,0.0002721107067032955,0.008922429816285039,True,True
T9_aprbs_30,T,4000,open_loop,full,band,5.074038587312543e-08,8.468136137214216e-06,0.005991919006845067,True,True
T9_aprbs_30,T,4000,open_loop,windows,time,7.990725104102658e-08,0.0005055082241527726,0.00015807309796977178,True,True
T9_aprbs_30,T,4000,open_loop,windows,band,4.526077849061144e-08,7.5078746962141946e-06,0.006028440846706452,True,True
T9_aprbs_30,T,2000,open_loop,full,time,9.864164191024213e-06,0.0002684213174645622,0.036748810728590924,True,True
T9_aprbs_30,T,2000,open_loop,full,band,2.0693561848630087e-07,8.359394798023201e-06,0.024754856480188762,True,True
T9_aprbs_30,T,2000,open_loop,windows,time,3.187045602164118e-07,0.0004275298597416942,0.0007454556750935885,True,True
T9_aprbs_30,T,2000,open_loop,windows,band,1.926938029750762e-07,7.781840791175415e-06,0.02476198217696646,True,True
T9_aprbs_30,T,1000,open_loop,full,time,3.744497003358051e-05,0.0002562553495192979,0.14612366182334324,True,True
T9_aprbs_30,T,1000,open_loop,full,band,9.73752680359841e-07,7.939796212149099e-06,0.12264202434690337,True,True
T9_aprbs_30,T,1000,open_loop,windows,time,1.3746362532838827e-06,0.0005149681367370808,0.0026693617628340935,True,True
T9_aprbs_30,T,1000,open_loop,windows,band,9.287389507013476e-07,7.667519386768994e-06,0.12112639092950604,True,True
