record,split,rate_hz,protocol,model,horizon,divergence_seconds,n_diverged_windows,correction_force_finite,correction_force_aggregate_rms,correction_force_rms_X1,correction_force_max_X1,correction_force_rms_X2,correction_force_max_X2,correction_force_rms_Y,correction_force_max_Y,applied_force_finite,applied_force_aggregate_rms,applied_force_rms_X1,applied_force_max_X1,applied_force_rms_X2,applied_force_max_X2,applied_force_rms_Y,applied_force_max_Y
E1_resonance_sweep,E,4000,corate,oracle,full,,,True,0.14359416261016505,0.16782287955122813,0.3290138917102847,0.1540862125553233,0.30093761519864004,0.09975355034600673,0.2262653349342958,True,57.1854882833174,18.20269096454375,41.52550122118766,17.106412109336325,39.034099242425505,95.84661140071235,195.49743302298458
E1_resonance_sweep,E,4000,corate,oracle,windows,,0,True,0.15000214267790313,0.16642726164636507,0.35245626224912924,0.15285684322550586,0.3222052308441841,0.12821341772182615,0.798584262382356,True,57.42791006195039,18.282513376555187,41.61295862276087,17.18130765128574,39.095286230955196,96.25199704046842,195.60246142056553
E1_resonance_sweep,E,4000,corate,fp,full,,,True,61.74919971550053,20.666752375446418,34.68819857376034,21.96624404365687,37.29734691991857,102.61218478027257,180.13894404853573,True,107.61849220048877,35.575812778294065,64.57362211450126,35.90041025846982,65.21383195297963,179.4177852916408,289.98848918235274
E1_resonance_sweep,E,4000,corate,fp,windows,,0,True,61.64207887461332,20.431430772626978,43.215305528729196,21.692755460880246,44.37713066564264,102.52423450604226,209.7645848085673,True,107.16014013724957,35.051238959538175,65.85932085716382,35.362418313927414,66.3698891847867,178.8037944818204,313.8361364803951
E1_resonance_sweep,E,4000,controller20k_zoh,oracle,full,,,True,3.022927044417126,3.5131075361099957,7.786771178706573,3.2238640698572394,7.117631143309794,2.1631087920897634,4.734881014299617,True,58.53247272966622,21.081771841525782,48.60260500364859,19.736721461924176,45.45200196031056,97.18112889601386,200.05371862915152
E1_resonance_sweep,E,4000,controller20k_zoh,oracle,windows,,0,True,2.996520349493635,3.4689518339788186,7.79112276586568,3.1842763578117634,7.134871018054071,2.1826955503240235,8.057530738166873,True,58.73995908581868,21.084766113030135,48.60260494466826,19.741695893873434,45.452002047788895,97.55432569293643,200.14592621410065
E1_resonance_sweep,E,4000,controller20k_zoh,fp,full,,,True,62.62594500186755,21.027638353893764,35.58918814643938,22.43628608022671,38.71311054899123,104.0215288020459,181.46167778622652,True,108.67504309777124,37.118946767736986,69.77672626112155,37.412626324772475,70.33114394560707,180.70216976905354,295.05360721046253
E1_resonance_sweep,E,4000,controller20k_zoh,fp,windows,,0,True,62.501484718669246,20.722950108787654,43.554545868197756,22.097393762434795,44.715592983397705,103.93060811816032,211.56785350873713,True,108.20398670171055,36.54310390360017,70.83379350116878,36.8242446449252,71.2512326069001,180.09132343856348,315.0363125045302
E1_resonance_sweep,E,2000,corate,oracle,full,,,True,0.7133324050765864,0.8745819713422607,1.7073987048553534,0.8015832085295903,1.5563737750175786,0.3451088170469333,0.9766435548501416,True,56.64360818668042,17.518169578242137,40.45203023613237,16.47536513800333,38.00752634724567,95.11661854489952,193.8041251649812
E1_resonance_sweep,E,2000,corate,oracle,windows,,0,True,0.7585521531572994,0.8629447228823535,1.8479563818257378,0.7911541699375034,1.6937380380311071,0.596326749206107,3.50757562901166,True,56.89442530031624,17.616580165484333,40.791314703204065,16.56691455019493,38.39920084748351,95.53072980104044,193.87209429103737
E1_resonance_sweep,E,2000,corate,fp,full,,,True,70.08437736477646,27.560417944947105,47.01065184496085,29.111253788268183,50.06951751210141,114.57930929011597,198.67691088677265,True,118.88872542324461,43.93287770108028,79.38334692070407,44.446106190709244,80.34730590977759,196.20915625851174,318.215092153215
E1_resonance_sweep,E,2000,corate,fp,windows,,0,True,69.74033632353472,27.070299835398323,56.62169547609048,28.56554015180471,58.03744718316135,114.2031186711487,240.18813529286433,True,118.11333079857624,43.0755456222274,80.47090550446896,43.56574424953084,81.2552816303683,195.18913913005912,347.93695783320834
E1_resonance_sweep,E,2000,controller20k_zoh,oracle,full,,,True,7.98167518759346,9.518565225928292,21.41733850520137,8.71871673815355,19.522612515226683,4.94998089696568,10.683725162533221,True,60.246780398743645,25.328496686627805,60.088782817965146,23.604691077883114,55.85995872486787,98.439369461392,204.27455062213818
E1_resonance_sweep,E,2000,controller20k_zoh,oracle,windows,,0,True,7.875887320573562,9.349450318540429,21.417130276524404,8.566946762064296,19.521489934629052,5.028320313605063,18.951681089590952,True,60.39155186011617,25.16794700745124,60.08870856695887,23.46051944141392,55.85977489684778,98.7805501057183,205.5902979374291
