[BLA-frf] loaded frf_init_ss.npz, nx=8
[BLA-frf] max|eig| = 1.000000, closest pole to z=1: 0.000e+00
[BLA-frf] |eig| = [1.       1.       0.999889 0.999889 0.99569  0.99569  0.937483 0.937483]
[BLA-frf] applied, zero_nonlinear=True
Model already initilized (init_model_done=True), skipping initilizing of the model, the norm and the creation of the optimizer
Size of the training array =  87.7 MB
N_training_samples = 9184, batch_size = 256, N_batch_updates_per_epoch = 35
Initial Validation sim-RMS= 0.21754673300598
Starting indefinite training until 12600.0 seconds have passed due to provided timeout
It 1470, sqrt loss  0.1415, Val sim-RMS  0.285, Time Loss: 84.0%, data: 0.4%, val: 15.5%,  1.0 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.07357904333026273
It 1505, sqrt loss  0.1514, Val sim-RMS 0.07358, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1540, sqrt loss  0.1499, Val sim-RMS 0.09595, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1575, sqrt loss  0.1574, Val sim-RMS 0.1057, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1610, sqrt loss  0.1409, Val sim-RMS 0.2317, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1645, sqrt loss  0.1281, Val sim-RMS 0.1495, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1680, sqrt loss  0.1242, Val sim-RMS 0.1708, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1715, sqrt loss  0.1546, Val sim-RMS 0.1063, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1750, sqrt loss  0.1283, Val sim-RMS 0.1396, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.1 batches/sec
It 1785, sqrt loss  0.1267, Val sim-RMS 0.1817, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.1 batches/sec
It 1820, sqrt loss  0.1347, Val sim-RMS 0.1121, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.1 batches/sec
It 1855, sqrt loss   0.143, Val sim-RMS 0.07592, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.1 batches/sec
It 1890, sqrt loss  0.1259, Val sim-RMS 0.1212, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.1 batches/sec
It 1925, sqrt loss  0.1138, Val sim-RMS 0.09643, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.1 batches/sec
It 1960, sqrt loss  0.1194, Val sim-RMS 0.1413, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.1 batches/sec
It 1995, sqrt loss   0.117, Val sim-RMS 0.07887, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.1 batches/sec
It 2030, sqrt loss  0.1239, Val sim-RMS 0.1565, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.1 batches/sec
It 2065, sqrt loss  0.1255, Val sim-RMS 0.1879, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.1 batches/sec
It 2100, sqrt loss  0.1366, Val sim-RMS 0.2789, Time Loss: 84.3%, data: 0.4%, val: 15.3%,  1.2 batches/sec
It 2135, sqrt loss  0.1396, Val sim-RMS 0.2006, Time Loss: 84.4%, data: 0.4%, val: 15.3%,  1.2 batches/sec
It 2170, sqrt loss   0.116, Val sim-RMS  0.155, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2205, sqrt loss  0.1105, Val sim-RMS 0.1568, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2240, sqrt loss  0.1089, Val sim-RMS 0.1219, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.05231217373297189
It 2275, sqrt loss  0.1145, Val sim-RMS 0.05231, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2310, sqrt loss  0.1043, Val sim-RMS 0.3401, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2345, sqrt loss  0.1103, Val sim-RMS 0.09898, Time Loss: 84.4%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2380, sqrt loss  0.1014, Val sim-RMS 0.06266, Time Loss: 84.5%, data: 0.4%, val: 15.2%,  1.2 batches/sec
It 2415, sqrt loss  0.1183, Val sim-RMS 0.08231, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2450, sqrt loss  0.1028, Val sim-RMS 0.2164, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2485, sqrt loss  0.1154, Val sim-RMS 0.1085, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2520, sqrt loss  0.1101, Val sim-RMS 0.06612, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2555, sqrt loss  0.1104, Val sim-RMS 0.1427, Time Loss: 84.5%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2590, sqrt loss  0.1038, Val sim-RMS 0.06794, Time Loss: 84.6%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2625, sqrt loss  0.1009, Val sim-RMS 0.05366, Time Loss: 84.6%, data: 0.4%, val: 15.1%,  1.2 batches/sec
It 2660, sqrt loss  0.1135, Val sim-RMS 0.1221, Time Loss: 84.6%, data: 0.4%, val: 15.1%,  1.2 batches/sec
