[BLA-frf] loaded truth_ss_fs800.npz, nx=8
[BLA-frf] max|eig| = 1.000000, closest pole to z=1: 0.000e+00
[BLA-frf] |eig| = [1.       1.       0.999192 0.998763 0.996286 0.996286 0.936582 0.936582]
[BLA-frf] applied, zero_nonlinear=True
Model already initilized (init_model_done=True), skipping initilizing of the model, the norm and the creation of the optimizer
Size of the training array =  87.7 MB
N_training_samples = 9184, batch_size = 256, N_batch_updates_per_epoch = 35
Initial Validation sim-RMS= 0.15225733443244543
Starting indefinite training until 12600.0 seconds have passed due to provided timeout
########## New lowest validation loss achieved ########### sim-RMS = 0.14065797133553362
It 1435, sqrt loss   0.145, Val sim-RMS  0.157, Time Loss: 83.9%, data: 0.5%, val: 15.7%,  1.0 batches/sec
It 1470, sqrt loss  0.1447, Val sim-RMS 0.1599, Time Loss: 83.9%, data: 0.4%, val: 15.6%,  1.0 batches/sec
It 1505, sqrt loss  0.1518, Val sim-RMS 0.1607, Time Loss: 84.0%, data: 0.4%, val: 15.6%,  1.1 batches/sec
It 1540, sqrt loss  0.1573, Val sim-RMS 0.1431, Time Loss: 84.0%, data: 0.4%, val: 15.6%,  1.1 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.0819563702083743
It 1575, sqrt loss   0.142, Val sim-RMS 0.08196, Time Loss: 84.0%, data: 0.4%, val: 15.6%,  1.1 batches/sec
It 1610, sqrt loss  0.1405, Val sim-RMS 0.09963, Time Loss: 84.0%, data: 0.4%, val: 15.6%,  1.1 batches/sec
It 1645, sqrt loss  0.1383, Val sim-RMS 0.1246, Time Loss: 84.0%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1680, sqrt loss  0.1361, Val sim-RMS 0.09359, Time Loss: 84.0%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1715, sqrt loss  0.1347, Val sim-RMS 0.08378, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.07677465788120755
It 1750, sqrt loss  0.1291, Val sim-RMS 0.07677, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1785, sqrt loss  0.1304, Val sim-RMS 0.1133, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1820, sqrt loss  0.1299, Val sim-RMS 0.08778, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1855, sqrt loss  0.1351, Val sim-RMS 0.1503, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It 1890, sqrt loss  0.1389, Val sim-RMS  0.149, Time Loss: 84.1%, data: 0.4%, val: 15.4%,  1.1 batches/sec
It 1925, sqrt loss  0.1213, Val sim-RMS 0.08208, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.1 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.07443542080946638
It 1960, sqrt loss  0.1223, Val sim-RMS 0.07444, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.1 batches/sec
It 1995, sqrt loss   0.124, Val sim-RMS 0.09311, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.1 batches/sec
It 2030, sqrt loss  0.1124, Val sim-RMS 0.1011, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.1 batches/sec
It 2065, sqrt loss  0.1137, Val sim-RMS    nan, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.1 batches/sec
